comment_id,processed_text
1547993305840267,don t play us just restore power uko
1912761259204872,give us update today its1st october ifyo
455708920855129,instead power ve supplying lies
1023281382878588,today 1st okutoba please ll friends stick u said bakaluku luku imwe
8681389835237254,imwe ba zesco limited muliso ai
513134628239402,ba zesco tell us another lie because today 1 october
895802559169859,ba zesco limited just give us power ivo
1591127564804080,ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi someone explain means please
866372702125480,said imwee last time said pa 1 october nishi stop fooling us m shenu
1628658844662216,angela baker exactly waiting
1628658844662216,tri cia phiri bunch crooks
384445361400659,t buy solar mweimwe add grid citizens lot problems mailiti should issue plus tiziba imwe uko mufola bwino vima salary monga pension yama civil servants 4
1035849027994152,maybe meant next year 1st october zesco limited
1879945789176597,t understand anything apa
8388516171255825,today 1st october think forgotten promised aini
1523376245205969,t see 123 complex maybe electric engineers see 123 otherwise ine only 375 123
1721243698715220,ba zesco today 1 october fyabupuba dot post things wch u sure
1568167390452068,nipa wanu lelo pulizi
917793930254235,zesco stop playing games us need power umungulu mungulu fye stop playing games us today s 1st october
3804098406537834,ba swine lied today electricity back normal kanshi ni abnormal yabufi
509975758482056,people don t money buy solar system many poor today 1 october said power stabilize
500176419600800,izo nkani zamukachaso imwe lelo nipa 1 weh
1269660250728104,lelo mukwai tepalichili chitatu nipa 1 mukwai nga ifi ifyama metering ninshi muletweba ukuti amaiti yalakonkanyapo ukuya
1716024345824604,forgotten 1st october power supply stability may walk talk please
513652114864664,how areas having power whole day area only 2 hours s really happening elo today first advise buy relish tired eating eggs kapenta ine
847279377585164,need ka feed back today 1st october
418604890897874,s 1st october imwe mbuzi za bantu s now 2 days shame
521413643944406,ba zesco limited today 1st october want know power rationing schedule noti ifi muletulanga only interested seeing schedule table chapwafye
515597774510137,happy 1st october ba zesco 1 october
555859273554605,net metering business should giving citizens cash supply power zesco noti ifyama credit units
382025698309470,get serious 1st october net metering
1716024345824604,mulilo m edson ok think honour care
1716024345824604,joshua mayuya ours remind according word
1547993305840267,joyce nkhoma kkk things
554598666988182,today first october yesterday didn t power only restore today hour cut promised stability power mean minister lied us too much don t play us
955135689986216,please give us feedback today october 1st tells maamba station fully active how many hours loadsheeding reduced zesco limited
546688957835092,energy bill offset off grid supplying zesco pay supply like also pay
1571738356757226,need new schedule ba zesco kindly update us plan october
416807327778717,t start telling us net metering today nipa 1 expect fulfill words otherwise tachawame mwatubelesha sana bamumbwe
510634638569008,oky m sure those could afford solar heard those us don t solar s update since lelo nipa 1st october
405758108990762,case calendars working properly today first october 2024 don t want hear stories stabilization power ba zesco ltd because yesterday didn t power
456336917448513,tepa october lelo ba zesco limited expect positive results promised
523722040251973,s 1st october waiting rationing schedule promise
8617337251665022,zesco limited please suffered phi four days power coming low voltage water pumps cannot pump water fridges cannot get cold ve brought complaints nothing please help us get sick ve completely run water twafweni nangufye 1hr pumps just pump complaint number 30178863 nearest landmark phi mall
418604890897874,mark mwandila pray come pa zesco page sin ndipo ve suffered
418604890897874,mark mwandila imwe lol
418604890897874,precious chanda nabaya sana abantu aba into 3 days power nerve post bs
418604890897874,mark mwandila bama mbala niba boza ati 1st october 2024
418604890897874,jay praise nkhata mwenzo chetekela nochetekela apa bachinja na goalpost
418604890897874,mark mwandila iwe nkumba just report didn t hear zesco announcements
847279377585164,zambian stories exactly doesn t make sense
847279377585164,zambian stories t give us anything company lungu could sold china
847279377585164,mweene omedy keny just keep quiet sometimes
847279377585164,former zambian right voice keep quiet
847279377585164,zambian stories kaili said own mouth
847279377585164,mweene omedy keny aba beve remove even chi gown u showing ur ignorant
847279377585164,mweene omedy keny know tonga let s politicize even something affect lot zambia just because certain ethnic group
847279377585164,gloriouse nuttip political comment talk tribe must foolish
847279377585164,mweene omedy keny long u talk other politicians say something didn t happen s politics dear expected normal person just say whats group father busy having sex wife ati because s father t talk camon most us rulling party being affected
847279377585164,gloriouse nuttip most dull person seeing read understand told u ruling party check yourself should keep quite affected loadshedding even read comment ego mislead take poverty frustration side
382025698309470,lilmah kayz imagine sure
382025698309470,phoebe nachandeh guys taking things serious
382025698309470,lilmah kayz see serious well let please
382025698309470,phoebe nachandeh exactly too peaceful tolerant otherwise enough stories
513652114864664,natasha mwaba imagine elo ngombe friday ve power
513652114864664,natasha mwaba kids learned eat nemilembwe apa
513652114864664,same us neighbor power ise only came around 2030 22 went still neighbor awe
513652114864664,natasha mwaba ng andwe kapotwe fate
513652114864664,natasha mwaba well
513652114864664,jolie dai kaps somehow knew s strategy ll use
513652114864664,sharon mupeta fair
513652114864664,natasha mwaba way tired eating eggs kapenta soya chunks awe ba zesco make sin
513652114864664,natasha mwaba last 2 hrs daily ise ni 3 days comes s only 30 minutes ndipo bativutisa bana ba nfwiti aba
521413643944406,kakunta maggie chibale right imagine don t know exactly power going coming back time table iyamano switch off power apobalefyaila kwangala uku kabwe luangwa ericka street power goes same schedule morning elo business
521413643944406,kakunta maggie chibale points
521413643944406,hildah regina s mwamba chisala bakonkolokefye other wise people rise
1879945789176597,ťĥë ĝřeàţ mŵå pė stress absolutely nothing understand even wrote post understand
418604890897874,bev fairplay justice nkhumba niwebo idiot
895080369249123,zesco limited area power t remember last power restored other areas power 3 4 hours daily basis
1711668552902047,m sure now ve already drafted next excuse ll stable supply t trusted
