comment_id,processed_text
8388516171255825,today 1st october think forgotten promised aini
509975758482056,people don t money buy solar system many poor today 1 october said power stabilize
555859273554605,net metering business should giving citizens cash supply power zesco noti ifyama credit units
1716024345824604,joshua mayuya ours remind according word
554598666988182,today first october yesterday didn t power only restore today hour cut promised stability power mean minister lied us too much don t play us
546688957835092,energy bill offset off grid supplying zesco pay supply like also pay
847279377585164,mweene omedy keny know tonga let s politicize even something affect lot zambia just because certain ethnic group
847279377585164,gloriouse nuttip political comment talk tribe must foolish
847279377585164,gloriouse nuttip most dull person seeing read understand told u ruling party check yourself should keep quite affected loadshedding even read comment ego mislead take poverty frustration side
382025698309470,lilmah kayz see serious well let please
1879945789176597,ťĥë ĝřeàţ mŵå pė stress absolutely nothing understand even wrote post understand
895080369249123,zesco limited area power t remember last power restored other areas power 3 4 hours daily basis
1711668552902047,m sure now ve already drafted next excuse ll stable supply t trusted
901235591912417,m rich yesterday donated iphone smart watch wallet homeless guy t imagine happiness felt saw putting knife back pocket kindness everything
2159092774486716,pushing excess power into national grid s lot power just physics even using infrastructure required connection worth kindly explain
416841741112021,chanda victoria mulundu sounds like fault loadshedding similar experience until l reported fault know loadshedding comes lot faults system report
547690607655414,people complain comments like someone normal zesco limited see complains person runs page simple kawayawaya human call zesco even won t also anything don t complain just giving page comment traffic
8966443923383710,zesco luangwa ericka street power goes morning everyday business choose switch off power business place gives power three streets luangwa least should given us power also business place morning than night suffering family feed please please please look into
1532390074051752,dear zesco limited understand crisis together also keep word today first october hopes s update
1201200271113616,heard power supply stabilising beginning today how progress far
1043763430412037,today s 1st october s aii
540973198303459,lamecky lj melchizedek m immediately using ka statement recover back tumakongoles
7977232225716698,good morning zesco limitedd last week mentioned reduction load management question how many hours since today 1st october 2024 looking forward statement line same kindly update
1567403450514218,s 1st october today time should expecting power come
3835705476756731,just tell us want hear honor promise s much anxiety cannot carry like
894189272588192,installed 5 5kv load 2kv need apply net metering form please monze
8363272740435473,even people trust zesco country
1810080229730690,lied us just like ex s used lie us
1985322245319642,avoid reconnecting power 02 disturb sleeping schedules elo lilayi power 1 hour still waiting 2 hours left zesco limited
8500947319944440,just restore power minister assured nation saying s problem iwe admin
3677510509226540,quote power set stabilise 30th september mamba collieries begins fully functional end quote
