comment_id,processed_text,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms
8388516171255825,today 1st october think forgotten promised aini,0.1531,positive,0.1531,0.266,0.532,0.202,positive,0.1531,positive,False,0.0,
509975758482056,people don t money buy solar system many poor today 1 october said power stabilize,-0.4767,negative,-0.4767,0.0,0.795,0.205,negative,-0.4767,negative,False,0.0,
555859273554605,net metering business should giving citizens cash supply power zesco noti ifyama credit units,0.6124,positive,0.6124,0.294,0.706,0.0,positive,0.6124,positive,False,0.0,
1716024345824604,ours remind according word,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,
554598666988182,today first october yesterday didn t power only restore today hour cut promised stability power mean minister lied us too much don t play us,0.34,positive,0.34,0.238,0.604,0.158,positive,0.34,positive,False,0.0,
546688957835092,energy bill offset off grid supplying zesco pay supply like also pay,0.4215,positive,0.4215,0.299,0.519,0.182,positive,0.4215,positive,False,0.0,
847279377585164,know tonga let s politicize even something affect lot zambia just because certain ethnic group,0.2732,positive,0.2732,0.139,0.861,0.0,positive,0.2732,positive,False,0.0,
847279377585164,gloriouse nuttip political comment talk tribe must foolish,-0.2732,negative,-0.2732,0.0,0.769,0.231,negative,-0.2732,negative,False,0.0,
847279377585164,gloriouse nuttip most dull person seeing read understand told u ruling party check yourself should keep quite affected loadshedding even read comment ego mislead take poverty frustration side,-0.8218,negative,-0.8218,0.075,0.611,0.314,negative,-0.8218,negative,False,0.0,
382025698309470,lilmah kayz see serious well let please,0.4767,positive,0.4767,0.454,0.412,0.134,positive,0.4767,positive,False,0.0,
1879945789176597,ťĥë ĝřeàţ mŵå pė stress absolutely nothing understand even wrote post understand,-0.4215,negative,-0.4215,0.0,0.797,0.203,negative,-0.4215,negative,False,0.0,
895080369249123,zesco limited area power t remember last power restored other areas power 3 4 hours daily basis,0.128,positive,0.128,0.147,0.736,0.117,positive,0.128,positive,False,0.0,
1711668552902047,m sure now ve already drafted next excuse ll stable supply t trusted,0.7845,positive,0.7845,0.56,0.44,0.0,positive,0.7845,positive,False,0.0,
901235591912417,m rich yesterday donated iphone smart watch wallet homeless guy t imagine happiness felt saw putting knife back pocket kindness everything,0.9169,positive,0.9169,0.462,0.538,0.0,positive,0.9169,positive,False,0.0,
2159092774486716,pushing excess power into national grid s lot power just physics even using infrastructure required connection worth kindly explain,0.6249,positive,0.6249,0.242,0.758,0.0,positive,0.6249,positive,False,0.0,
416841741112021,victoria mulundu sounds like fault loadshedding similar experience until l reported fault know loadshedding comes lot faults system report,-0.7184,negative,-0.7184,0.1,0.56,0.34,negative,-0.7184,negative,False,0.0,
547690607655414,people complain comments like someone normal zesco limited see complains person runs page simple kawayawaya human call zesco even won t also anything don t complain just giving page comment traffic,0.0258,neutral,0.0258,0.214,0.549,0.237,neutral,0.0258,neutral,False,0.0,
8966443923383710,zesco luangwa ericka street power goes morning everyday business choose switch off power business place gives power three streets luangwa least should given us power also business place morning than night suffering family feed please please please look into,0.4215,positive,0.4215,0.153,0.778,0.069,positive,0.4215,positive,False,0.0,
1532390074051752,dear zesco limited understand crisis together also keep word today first october hopes s update,-0.1531,negative,-0.1531,0.252,0.467,0.28,negative,-0.1531,negative,False,0.0,
1201200271113616,heard power supply stabilising beginning today how progress far,0.4215,positive,0.4215,0.259,0.741,0.0,positive,0.4215,positive,False,0.0,
1043763430412037,today s 1st october s aii,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,
540973198303459,lamecky lj melchizedek m immediately using ka statement recover back tumakongoles,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,
