comment_id,text,timestamp,source_url,text_clean,word_count,processed_text,is_sarcastic,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms,nrc_token_count,nrc_matched_token_count,nrc_base_anger,nrc_base_anticipation,nrc_base_fear,nrc_base_trust,nrc_base_sadness,nrc_base_hope,nrc_base_frustration,local_emotion_applied,local_emotion_terms,local_emotion_match_count,local_anger_score,local_fear_score,local_trust_score,local_hope_score,local_sadness_score,local_frustration_score,nrc_anger,nrc_anticipation,nrc_fear,nrc_trust,nrc_sadness,nrc_hope,nrc_frustration,is_relevant,relevance_score,relevance_reason,relevance_terms
1547993305840267,Don’t play with us just restore power uko,2026-05-04T14:01:35.261172+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,don’t play with us just restore power uko,9,don t play us just restore power uko,False,0.5574,positive,0.5574,0.479,0.521,0.0,positive,0.5574,positive,False,0.0,,8,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,True,4,matched_energy_and_context_terms,"power,restore"
1912761259204872,Give us an update today its1st October not ifyo,2026-05-04T14:01:35.261196+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,give us an update today its1st october not ifyo,9,give us update today its1st october ifyo,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2,matched_post_context_terms,"october,update"
455708920855129,"Instead of power, you've been supplying lies🥺😳",2026-05-04T14:01:35.261199+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,instead of power you ve been supplying lies🥺😳,8,instead power ve supplying lies,False,-0.4215,negative,-0.4215,0.0,0.588,0.412,negative,-0.4215,negative,False,0.0,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,3,matched_energy_terms,power
1023281382878588,Today is 1st of okutoba please they’ll your friends to stick to what u said bakaluku luku imwe,2026-05-04T14:01:35.261202+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,today is 1st of okutoba please they’ll your friends to stick to what u said bakaluku luku imwe,19,today 1st okutoba please ll friends stick u said bakaluku luku imwe,False,0.6597,positive,0.6597,0.375,0.625,0.0,positive,0.6597,positive,False,0.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,imwe,1,0.3,0.0,0.0,0.0,0.1,0.4,0.3,0.0,0.0,0.0,0.1,0.0,0.4,True,2,matched_post_context_terms,"1st,said"
8681389835237254,Imwe ba Zesco Limited why muliso ai?,2026-05-04T14:01:35.261204+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,imwe ba zesco limited why muliso ai,7,imwe ba zesco limited muliso ai,False,-0.2263,negative,-0.2263,0.0,0.725,0.275,negative,-0.2263,negative,False,0.0,,6,1,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,True,imwe,1,0.3,0.0,0.0,0.0,0.1,0.4,0.4666666666666667,0.0,0.0,0.0,0.2666666666666666,0.0,0.5666666666666667,True,3,matched_energy_terms,zesco
513134628239402,"Ba zesco tell us another lie!!
Because today is 1 October.............",2026-05-04T14:01:35.261207+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,ba zesco tell us another lie because today is 1 october,11,ba zesco tell us another lie because today 1 october,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,10,1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,True,4,matched_energy_terms,"october,zesco"
895802559169859,Ba Zesco Limited just give us power not ivo,2026-05-04T14:01:35.261209+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,ba zesco limited just give us power not ivo,9,ba zesco limited just give us power ivo,False,-0.2263,negative,-0.2263,0.0,0.787,0.213,negative,-0.2263,negative,False,0.0,,8,1,0.125,0.0,0.0,0.0,0.125,0.0,0.125,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,True,6,matched_energy_terms,"power,zesco"
1591127564804080,"Ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi 

Someone to explain what it means please 😩",2026-05-04T14:01:35.261212+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi someone to explain what it means please 😩,17,ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi someone explain means please,False,0.3182,positive,0.3182,0.15,0.85,0.0,positive,0.3182,positive,False,0.0,,14,1,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,True,3,matched_energy_terms,solar
866372702125480,You Said what imwee last time you said pa 1 October Nishi what???stop fooling us M shenu,2026-05-04T14:01:35.261214+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,you said what imwee last time you said pa 1 october nishi what stop fooling us m shenu,18,said imwee last time said pa 1 october nishi stop fooling us m shenu,False,-0.5994,negative,-0.5994,0.0,0.671,0.329,negative,-0.5994,negative,False,0.0,,14,1,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.0,True,2,matched_post_context_terms,"october,said"
384445361400659,Why can't you buy solar mweimwe to add to the grid ? Citizens have a lot of problems mailiti should not be our issue plus tiziba imwe uko mufola bwino vima salary monga pension yama civil servants ×4,2026-05-04T14:01:35.261224+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,why can t you buy solar mweimwe to add to the grid citizens have a lot of problems mailiti should not be our issue plus tiziba imwe uko mufola bwino vima salary monga pension yama civil servants ×4,38,t buy solar mweimwe add grid citizens lot problems mailiti should issue plus tiziba imwe uko mufola bwino vima salary monga pension yama civil servants 4,False,-0.4019,negative,-0.9019,0.0,0.895,0.105,negative,-0.9019,negative,True,-0.5,bwino,26,2,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,True,"imwe,tiziba",2,0.2,0.1,0.0,0.0,0.2,0.35,0.2,0.0384615384615384,0.1,0.0384615384615384,0.2,0.0384615384615384,0.35,True,6,matched_energy_terms,"grid,solar"
